Benchmark, Stat, Platform, Run#, Value
crfsuite,L1 D-Cache Store Misses,pc,4,2905549
crfsuite,L1 D-Cache Store Misses,pc,5,2872054
crfsuite,L1 D-Cache Store Misses,pc,6,3031317
crfsuite,L1 D-Cache Store Misses,pc,7,3011331
crfsuite,L1 D-Cache Store Misses,pc,8,3255244
crfsuite,L1 D-Cache Store Misses,pc,9,2943236
crfsuite,L1 D-Cache Store Misses,pc,0,3075641
crfsuite,Stalled cycles,pc,1,881299671
crfsuite,Stalled cycles,pc,2,882462717
crfsuite,Stalled cycles,pc,3,918036245
crfsuite,Stalled cycles,pc,4,889790694
crfsuite,Stalled cycles,pc,5,892511810
crfsuite,Stalled cycles,pc,6,888509887
crfsuite,Stalled cycles,pc,7,912920493
crfsuite,Stalled cycles,pc,8,876515822
crfsuite,Stalled cycles,pc,9,876018698
crfsuite,Stalled cycles,pc,0,875396527
porter,L3 Loads,pc,1,9175
porter,L3 Loads,pc,2,8258
porter,L3 Loads,pc,3,10371
porter,L3 Loads,pc,4,7957
porter,L3 Loads,pc,5,8902
porter,L3 Loads,pc,6,20537
porter,L3 Loads,pc,7,7094
porter,L3 Loads,pc,8,9223
porter,L3 Loads,pc,9,14676
porter,L3 Loads,pc,0,8455
porter,L3 Stores,pc,1,15748
porter,L3 Stores,pc,2,12414
porter,L3 Stores,pc,3,12813
porter,L3 Stores,pc,4,12134
porter,L3 Stores,pc,5,13274
porter,L3 Stores,pc,6,15418
porter,L3 Stores,pc,7,12512
porter,L3 Stores,pc,8,12729
porter,L3 Stores,pc,9,12834
porter,L3 Stores,pc,0,12866
porter,L1 I-Cache Load Misses,pc,1,111437
porter,L1 I-Cache Load Misses,pc,2,81416
porter,L1 I-Cache Load Misses,pc,3,64901
porter,L1 I-Cache Load Misses,pc,4,60652
porter,L1 I-Cache Load Misses,pc,5,85116
porter,L1 I-Cache Load Misses,pc,6,105032
porter,L1 I-Cache Load Misses,pc,7,59209
porter,L1 I-Cache Load Misses,pc,8,65546
porter,L1 I-Cache Load Misses,pc,9,95440
porter,L1 I-Cache Load Misses,pc,0,62359
porter,L1 D-Cache Load Misses,pc,1,131048
porter,L1 D-Cache Load Misses,pc,2,126407
porter,L1 D-Cache Load Misses,pc,3,166449
porter,L1 D-Cache Load Misses,pc,4,116201
porter,L1 D-Cache Load Misses,pc,5,141791
porter,L1 D-Cache Load Misses,pc,6,204474
porter,L1 D-Cache Load Misses,pc,7,138594
porter,L1 D-Cache Load Misses,pc,8,140831
porter,L1 D-Cache Load Misses,pc,9,132643
porter,L1 D-Cache Load Misses,pc,0,140057
porter,L1 D-Cache Store Misses,pc,1,33525
porter,L1 D-Cache Store Misses,pc,2,35220
