Benchmark, Stat, Platform, Run#, Value
crfsuite,D-Cache Accesses,pc,4,8623886
crfsuite,D-Cache Accesses,pc,5,8671647
crfsuite,D-Cache Accesses,pc,6,8286952
crfsuite,D-Cache Accesses,pc,7,8573781
crfsuite,D-Cache Accesses,pc,8,8458356
crfsuite,D-Cache Accesses,pc,9,8570200
crfsuite,D-Cache Accesses,pc,0,8961166
crfsuite,D-Cache Misses,pc,1,2395209
crfsuite,D-Cache Misses,pc,2,2321735
crfsuite,D-Cache Misses,pc,3,2402689
crfsuite,D-Cache Misses,pc,4,2353483
crfsuite,D-Cache Misses,pc,5,2372657
crfsuite,D-Cache Misses,pc,6,2438149
crfsuite,D-Cache Misses,pc,7,2356189
crfsuite,D-Cache Misses,pc,8,2858024
crfsuite,D-Cache Misses,pc,9,3110923
crfsuite,D-Cache Misses,pc,0,2830605
crfsuite,D-Cache Miss rate,pc,1,28.451
crfsuite,D-Cache Miss rate,pc,2,27.372
crfsuite,D-Cache Miss rate,pc,3,28.610
crfsuite,D-Cache Miss rate,pc,4,27.290
crfsuite,D-Cache Miss rate,pc,5,27.361
crfsuite,D-Cache Miss rate,pc,6,29.422
crfsuite,D-Cache Miss rate,pc,7,27.481
crfsuite,D-Cache Miss rate,pc,8,33.789
crfsuite,D-Cache Miss rate,pc,9,36.299
crfsuite,D-Cache Miss rate,pc,0,31.587
crfsuite,Runtime,pc,1,0.460674809
crfsuite,Runtime,pc,2,0.457029506
crfsuite,Runtime,pc,3,0.458085387
crfsuite,Runtime,pc,4,0.469841502
crfsuite,Runtime,pc,5,0.464630179
crfsuite,Runtime,pc,6,0.461067975
crfsuite,Runtime,pc,7,0.454181760
crfsuite,Runtime,pc,8,0.481263696
crfsuite,Runtime,pc,9,0.491656192
crfsuite,Runtime,pc,0,0.486654979
porter,instructions,pc,1,58435927
porter,instructions,pc,2,58437518
porter,instructions,pc,3,58402838
porter,instructions,pc,4,58391926
porter,instructions,pc,5,58445443
porter,instructions,pc,6,58396715
porter,instructions,pc,7,58442064
porter,instructions,pc,8,58410785
porter,instructions,pc,9,58379127
porter,instructions,pc,0,58392050
porter,cycles,pc,1,#
porter,cycles,pc,2,#
porter,cycles,pc,3,#
porter,cycles,pc,4,#
porter,cycles,pc,5,#
porter,cycles,pc,6,#
porter,cycles,pc,7,#
porter,cycles,pc,8,#
porter,cycles,pc,9,#
porter,cycles,pc,0,#
porter,ipc,pc,1,1.45
porter,ipc,pc,2,1.40
porter,ipc,pc,3,1.45
porter,ipc,pc,4,1.33
porter,ipc,pc,5,1.42
porter,ipc,pc,6,1.53
porter,ipc,pc,7,1.49
porter,ipc,pc,8,1.50
porter,ipc,pc,9,1.47
porter,ipc,pc,0,1.41
porter,idle cycles,pc,1,37.18%
porter,idle cycles,pc,2,39.28%
porter,idle cycles,pc,3,36.95%
porter,idle cycles,pc,4,43.69%
porter,idle cycles,pc,5,38.21%
porter,idle cycles,pc,6,34.08%
porter,idle cycles,pc,7,36.02%
porter,idle cycles,pc,8,34.72%
porter,idle cycles,pc,9,36.15%
porter,idle cycles,pc,0,38.02%
porter,D-Cache Accesses,pc,1,91558
porter,D-Cache Accesses,pc,2,96258
porter,D-Cache Accesses,pc,3,93916
porter,D-Cache Accesses,pc,4,99192
porter,D-Cache Accesses,pc,5,95758
porter,D-Cache Accesses,pc,6,89861
porter,D-Cache Accesses,pc,7,94203
porter,D-Cache Accesses,pc,8,92264
porter,D-Cache Accesses,pc,9,90312
porter,D-Cache Accesses,pc,0,94916
porter,D-Cache Misses,pc,1,30875
porter,D-Cache Misses,pc,2,19007
porter,D-Cache Misses,pc,3,31472
porter,D-Cache Misses,pc,4,19231
porter,D-Cache Misses,pc,5,19785
porter,D-Cache Misses,pc,6,15610
porter,D-Cache Misses,pc,7,23887
porter,D-Cache Misses,pc,8,16327
porter,D-Cache Misses,pc,9,25906
porter,D-Cache Misses,pc,0,16071
